Time,U,I1,I2,D,Ve,IFNe
0.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,9.462933e-04
3.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.217804e-03
5.000000e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,9.031436e-03
6.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.445712e-02
8.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.575326e-02
1.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.765054e-01
1.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.735931e-01
1.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,1.270258e+00
1.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,3.404404e+00
1.666667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.622128e+01,9.105910e+00
1.833333e+00,9.998566e-01,1.075693e-04,3.585643e-05,0.000000e+00,5.789637e+01,2.422910e+01
2.000000e+00,9.997131e-01,2.509950e-04,3.585643e-05,0.000000e+00,1.654385e+02,6.359189e+01
2.166667e+00,9.996773e-01,2.509950e-04,7.171286e-05,0.000000e+00,4.333542e+02,1.612995e+02
2.333333e+00,9.995697e-01,2.868514e-04,1.434257e-04,0.000000e+00,1.041092e+03,3.790366e+02
2.500000e+00,9.993546e-01,5.019900e-04,1.434257e-04,0.000000e+00,2.200409e+03,7.766803e+02
2.666667e+00,9.992112e-01,6.454158e-04,1.434257e-04,0.000000e+00,3.977649e+03,1.336329e+03
2.833333e+00,9.991036e-01,6.812722e-04,2.151386e-04,0.000000e+00,6.254021e+03,1.963320e+03
