Time,U,I1,I2,D,Ve,IFNe
0.000000e+00,9.999942e-01,5.750795e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.999942e-01,5.750795e-06,0.000000e+00,0.000000e+00,0.000000e+00,2.027887e-23
3.333333e-01,9.999942e-01,5.750795e-06,0.000000e+00,0.000000e+00,0.000000e+00,9.022108e-22
5.000000e-01,9.999942e-01,5.750795e-06,0.000000e+00,0.000000e+00,0.000000e+00,3.900060e-20
6.666667e-01,9.999942e-01,5.750795e-06,0.000000e+00,0.000000e+00,0.000000e+00,1.677727e-18
8.333333e-01,9.999942e-01,5.750795e-06,0.000000e+00,0.000000e+00,0.000000e+00,7.195981e-17
1.000000e+00,9.999942e-01,5.750795e-06,0.000000e+00,0.000000e+00,0.000000e+00,3.079981e-15
1.166667e+00,9.999942e-01,5.750795e-06,0.000000e+00,0.000000e+00,0.000000e+00,1.457612e-13
1.333333e+00,9.999942e-01,5.750795e-06,0.000000e+00,0.000000e+00,0.000000e+00,8.684465e-12
1.500000e+00,9.999942e-01,5.750795e-06,0.000000e+00,0.000000e+00,0.000000e+00,3.665273e-10
1.666667e+00,9.999942e-01,5.750795e-06,0.000000e+00,0.000000e+00,0.000000e+00,1.535600e-08
1.833333e+00,9.999942e-01,5.750795e-06,0.000000e+00,0.000000e+00,0.000000e+00,6.462339e-07
2.000000e+00,9.999942e-01,5.750795e-06,0.000000e+00,0.000000e+00,0.000000e+00,2.689824e-05
2.166667e+00,9.999942e-01,0.000000e+00,5.750795e-06,0.000000e+00,0.000000e+00,1.077413e-03
2.333333e+00,9.999942e-01,0.000000e+00,5.750795e-06,0.000000e+00,0.000000e+00,3.702457e-02
2.500000e+00,9.998792e-01,1.150159e-04,5.750795e-06,0.000000e+00,7.112004e+04,5.157780e-01
2.666667e+00,9.998102e-01,1.840254e-04,0.000000e+00,5.750795e-06,2.332946e+05,1.052642e+00
2.833333e+00,9.997642e-01,2.300318e-04,0.000000e+00,5.750795e-06,4.885631e+05,5.681800e-01
3.000000e+00,9.996895e-01,3.047921e-04,0.000000e+00,5.750795e-06,4.460209e+05,3.069491e-01
3.166667e+00,9.996089e-01,3.680509e-04,1.725239e-05,5.750795e-06,4.071832e+05,1.668390e-01
3.333333e+00,9.995399e-01,4.313096e-04,2.300318e-05,5.750795e-06,3.717273e+05,9.310909e-02
3.500000e+00,9.994767e-01,4.888176e-04,2.875398e-05,5.750795e-06,3.393614e+05,5.635284e-02
3.666667e+00,9.994019e-01,5.463255e-04,4.600636e-05,5.750795e-06,3.098215e+05,4.066327e-02
