Time,V,H,P,IFNe,STATP,IRF7,IRF7P,IFN
0.000000e+00,8.628128e-13,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.737771e-29
1.666667e-01,1.876034e-12,1.000000e+00,1.000000e+00,0.000000e+00,1.440362e-28,5.294448e-30,5.631172e-31,7.461016e-28
3.333333e-01,4.078968e-12,1.000000e+00,1.000000e+00,6.294352e-29,1.805471e-27,6.844333e-29,7.792759e-30,7.858450e-27
5.000000e-01,8.868651e-12,1.000000e+00,1.000000e+00,7.309727e-28,1.935712e-26,7.362918e-28,8.752877e-29,8.217210e-26
6.666667e-01,1.928241e-11,1.000000e+00,1.000000e+00,7.735807e-27,2.029539e-25,7.673306e-27,9.393212e-28,8.566206e-25
8.333333e-01,4.192389e-11,1.000000e+00,1.000000e+00,8.093955e-26,2.117981e-24,7.933751e-26,9.918679e-27,8.911302e-24
1.000000e+00,9.115137e-11,1.000000e+00,1.000000e+00,8.439313e-25,2.205659e-23,8.174572e-25,1.038030e-25,9.255698e-23
1.166667e+00,1.981818e-10,1.000000e+00,1.000000e+00,8.780338e-24,2.293638e-22,8.404451e-24,1.079744e-24,9.601909e-22
1.333333e+00,4.317493e-10,1.000000e+00,1.000000e+00,9.120475e-23,2.382499e-21,8.627795e-23,1.118117e-23,9.951417e-21
1.500000e+00,9.395644e-10,1.000000e+00,1.000000e+00,9.462260e-22,2.537430e-20,7.841047e-22,7.651557e-23,1.053695e-19
1.666667e+00,2.043617e-09,1.000000e+00,1.000000e+00,9.807214e-21,2.789670e-19,5.901091e-21,3.077591e-22,1.195240e-18
1.833333e+00,4.443851e-09,1.000000e+00,1.000000e+00,1.037283e-19,3.216459e-18,4.234546e-20,1.372804e-21,1.578165e-17
2.000000e+00,9.662349e-09,1.000000e+00,1.000000e+00,1.172566e-18,4.189749e-17,4.754721e-19,1.054534e-20,1.685687e-16
2.166667e+00,2.100298e-08,1.000000e+00,1.000000e+00,1.537592e-17,4.588233e-16,5.198046e-18,1.012199e-19,1.698822e-15
2.333333e+00,4.564072e-08,1.000000e+00,1.000000e+00,1.657739e-16,4.673879e-15,5.323561e-17,9.668461e-19,1.738120e-14
2.500000e+00,9.910308e-08,1.000000e+00,1.000000e+00,1.676495e-15,4.776635e-14,5.394688e-16,9.171444e-18,1.782963e-13
2.666667e+00,2.148612e-07,1.000000e+00,1.000000e+00,1.714218e-14,4.894207e-13,5.449014e-15,8.724709e-17,1.823166e-12
2.833333e+00,4.642830e-07,9.999999e-01,1.000000e+00,1.758147e-13,4.994828e-12,5.523999e-14,8.673993e-16,1.852943e-11
3.000000e+00,9.961508e-07,9.999999e-01,1.000000e+00,1.798074e-12,5.053681e-11,5.561164e-13,8.666512e-15,1.858683e-10
3.166667e+00,2.105473e-06,9.999997e-01,1.000000e+00,1.828048e-11,5.020427e-10,5.476989e-12,8.476390e-14,1.812481e-09
3.333333e+00,4.315953e-06,9.999994e-01,1.000000e+00,1.835027e-10,4.796707e-09,5.140422e-11,7.864875e-13,1.661080e-08
3.500000e+00,8.344916e-06,9.999989e-01,1.000000e+00,1.792243e-09,4.219035e-08,4.364628e-10,6.544677e-12,1.316505e-07
3.666667e+00,1.461702e-05,9.999980e-01,1.000000e+00,1.648496e-08,3.106693e-07,3.026801e-09,4.416737e-11,7.145146e-07
3.833333e+00,2.231415e-05,9.999969e-01,1.000000e+00,1.318839e-07,1.551969e-06,1.430826e-08,2.098754e-10,1.758021e-06
4.000000e+00,2.940292e-05,9.999959e-01,1.000000e+00,7.386739e-07,4.213054e-06,4.159512e-08,6.760805e-10,2.007994e-06
4.166667e+00,3.445467e-05,9.999951e-01,1.000000e+00,2.041011e-06,7.473033e-06,8.915337e-08,1.746578e-09,1.531016e-06
4.333333e+00,1.935667e-06,9.999997e-01,9.999942e-01,2.977448e-06,5.196039e-06,1.048965e-07,3.085651e-09,2.580617e-09
4.500000e+00,4.130525e-06,9.999994e-01,9.999942e-01,2.166971e-06,7.887882e-06,2.111621e-07,7.995415e-09,8.783895e-09
4.666667e+00,8.640472e-06,9.999988e-01,9.999942e-01,1.323775e-06,9.310336e-06,3.413161e-07,1.652310e-08,3.368649e-08
4.833333e+00,1.740561e-05,9.999976e-01,9.999942e-01,7.632189e-07,9.951458e-06,4.733190e-07,2.870482e-08,1.777206e-07
5.000000e+00,3.292756e-05,9.999955e-01,9.999942e-01,4.535079e-07,1.041266e-05,5.958849e-07,4.384005e-08,9.072844e-07
5.166667e+00,5.716199e-05,9.999921e-01,9.999942e-01,3.966300e-07,1.187635e-05,7.095523e-07,6.078519e-08,2.682640e-06
5.333333e+00,9.051527e-05,9.999874e-01,9.999942e-01,9.638149e-07,1.576824e-05,8.240404e-07,7.828138e-08,4.720245e-06
5.500000e+00,8.913592e-05,9.999875e-01,9.999827e-01,2.732860e-06,1.648936e-05,7.484045e-07,7.600288e-08,3.645621e-06
5.666667e+00,1.282715e-04,9.999820e-01,9.999827e-01,4.211979e-06,2.284298e-05,8.746458e-07,9.053506e-08,4.665748e-06
5.833333e+00,1.808825e-04,9.999744e-01,9.999827e-01,5.334096e-06,3.059618e-05,1.037109e-06,1.055733e-07,6.923212e-06
6.000000e+00,2.132019e-04,9.999698e-01,9.999770e-01,6.598907e-06,3.410570e-05,1.066883e-06,1.037395e-07,9.192315e-06
6.166667e+00,2.401013e-04,9.999658e-01,9.999655e-01,7.841146e-06,3.732224e-05,9.473063e-07,7.752084e-08,1.030892e-05
6.333333e+00,3.276382e-04,9.999532e-01,9.999655e-01,9.637840e-06,5.312118e-05,1.220094e-06,9.233669e-08,1.371708e-05
6.500000e+00,3.978990e-04,9.999428e-01,9.999597e-01,1.355835e-05,6.496149e-05,1.409864e-06,1.008181e-07,1.637270e-05
6.666667e+00,5.145352e-04,9.999256e-01,9.999597e-01,1.674121e-05,8.775632e-05,1.794362e-06,1.196369e-07,2.071763e-05
6.833333e+00,6.170497e-04,9.999113e-01,9.999540e-01,2.212956e-05,1.090445e-04,2.175774e-06,1.334925e-07,2.321889e-05
7.000000e+00,7.756347e-04,9.998875e-01,9.999540e-01,2.816859e-05,1.367450e-04,2.681012e-06,1.594987e-07,2.448623e-05
7.166667e+00,8.594633e-04,9.998749e-01,9.999367e-01,3.448978e-05,1.440604e-04,2.869829e-06,1.694464e-07,2.838512e-05
7.333333e+00,1.019278e-03,9.998511e-01,9.999252e-01,3.498154e-05,1.652056e-04,3.188286e-06,1.841752e-07,3.894294e-05
7.500000e+00,1.224589e-03,9.998197e-01,9.999137e-01,3.992980e-05,2.053692e-04,3.704271e-06,2.086714e-07,4.715055e-05
7.666667e+00,1.430665e-03,9.997874e-01,9.999022e-01,5.264582e-05,2.519915e-04,4.269463e-06,2.328458e-07,5.048444e-05
7.833333e+00,1.643429e-03,9.997535e-01,9.998965e-01,6.655416e-05,2.987965e-04,4.836209e-06,2.549907e-07,5.345133e-05
8.000000e+00,1.792376e-03,9.997279e-01,9.998792e-01,7.738389e-05,3.307759e-04,5.108775e-06,2.562975e-07,5.123002e-05
8.166667e+00,1.916779e-03,9.997061e-01,9.998562e-01,8.272239e-05,3.615478e-04,5.596997e-06,2.774569e-07,5.027297e-05
8.333333e+00,1.971390e-03,9.996934e-01,9.998217e-01,8.407704e-05,3.707853e-04,5.720644e-06,2.840202e-07,4.853198e-05
8.500000e+00,2.098753e-03,9.996703e-01,9.997987e-01,7.854611e-05,3.969600e-04,6.197094e-06,3.106291e-07,4.935262e-05
8.666667e+00,2.227067e-03,9.996475e-01,9.997700e-01,7.795385e-05,4.154338e-04,6.618007e-06,3.316560e-07,5.246894e-05
8.833333e+00,2.448249e-03,9.996107e-01,9.997527e-01,7.687827e-05,4.496393e-04,7.247420e-06,3.692272e-07,6.538045e-05
9.000000e+00,2.636465e-03,9.995781e-01,9.997240e-01,8.046670e-05,4.894983e-04,7.864270e-06,4.078478e-07,7.526494e-05
9.166667e+00,2.806167e-03,9.995474e-01,9.996895e-01,9.115730e-05,5.290989e-04,8.297715e-06,4.307319e-07,7.297539e-05
9.333333e+00,2.921505e-03,9.995236e-01,9.996550e-01,1.027891e-04,5.538204e-04,8.604702e-06,4.559561e-07,7.279868e-05
9.500000e+00,2.996709e-03,9.995095e-01,9.996089e-01,1.067183e-04,5.772375e-04,8.998372e-06,4.717928e-07,7.297849e-05
9.666667e+00,3.087825e-03,9.994913e-01,9.995687e-01,1.100024e-04,6.110649e-04,9.803173e-06,5.227683e-07,7.454537e-05
9.833333e+00,3.130972e-03,9.994766e-01,9.995227e-01,1.125702e-04,6.328945e-04,1.042345e-05,5.731705e-07,6.981672e-05
