Time,avgI1rd,avgI2rd,avgDrd
0.000000e+00,1.692569e+00,0.000000e+00,0.000000e+00
1.666667e-01,1.692569e+00,0.000000e+00,0.000000e+00
3.333333e-01,1.692569e+00,0.000000e+00,0.000000e+00
5.000000e-01,1.692569e+00,0.000000e+00,0.000000e+00
6.666667e-01,1.692569e+00,0.000000e+00,0.000000e+00
8.333333e-01,1.692569e+00,0.000000e+00,0.000000e+00
1.000000e+00,1.692569e+00,0.000000e+00,0.000000e+00
1.166667e+00,1.692569e+00,0.000000e+00,0.000000e+00
1.333333e+00,1.692569e+00,0.000000e+00,0.000000e+00
1.500000e+00,1.692569e+00,0.000000e+00,0.000000e+00
1.666667e+00,1.692569e+00,0.000000e+00,0.000000e+00
1.833333e+00,1.692569e+00,0.000000e+00,0.000000e+00
2.000000e+00,1.692569e+00,1.692569e+00,0.000000e+00
2.166667e+00,1.692569e+00,1.692569e+00,0.000000e+00
2.333333e+00,2.393654e+00,1.692569e+00,0.000000e+00
2.500000e+00,2.931615e+00,1.692569e+00,0.000000e+00
2.666667e+00,4.145930e+00,1.692569e+00,0.000000e+00
2.833333e+00,5.352372e+00,1.692569e+00,0.000000e+00
3.000000e+00,5.613615e+00,1.692569e+00,0.000000e+00
3.166667e+00,6.555291e+00,1.692569e+00,0.000000e+00
3.333333e+00,7.756324e+00,1.692569e+00,0.000000e+00
3.500000e+00,9.423824e+00,1.692569e+00,0.000000e+00
3.666667e+00,9.574615e+00,1.692569e+00,0.000000e+00
3.833333e+00,1.057009e+01,2.393654e+00,0.000000e+00
4.000000e+00,1.122723e+01,3.784699e+00,1.692569e+00
4.166667e+00,1.196827e+01,4.478116e+00,1.692569e+00
4.333333e+00,1.300087e+01,5.352372e+00,1.692569e+00
4.500000e+00,1.436192e+01,5.613615e+00,1.692569e+00
4.666667e+00,1.523312e+01,6.333012e+00,1.692569e+00
4.833333e+00,1.578723e+01,6.333012e+00,1.692569e+00
5.000000e+00,1.632254e+01,6.770275e+00,1.692569e+00
5.166667e+00,1.684085e+01,6.770275e+00,1.692569e+00
5.333333e+00,1.750807e+01,7.180961e+00,1.692569e+00
5.500000e+00,1.846375e+01,7.756324e+00,1.692569e+00
5.666667e+00,1.899904e+01,8.291860e+00,1.692569e+00
5.833333e+00,1.944613e+01,8.956232e+00,1.692569e+00
6.000000e+00,1.988318e+01,9.423824e+00,1.692569e+00
6.166667e+00,2.045139e+01,1.001337e+01,1.692569e+00
6.333333e+00,2.107231e+01,1.029549e+01,1.692569e+00
6.500000e+00,2.134248e+01,1.057009e+01,1.692569e+00
6.666667e+00,2.174144e+01,1.096910e+01,2.931615e+00
6.833333e+00,2.239058e+01,1.160367e+01,3.385138e+00
7.000000e+00,2.302142e+01,1.208736e+01,4.145930e+00
7.166667e+00,2.333045e+01,1.232209e+01,4.145930e+00
7.333333e+00,2.387662e+01,1.300087e+01,4.478116e+00
7.500000e+00,2.429293e+01,1.321938e+01,5.613615e+00
7.666667e+00,2.499048e+01,1.385427e+01,6.555291e+00
7.833333e+00,2.533205e+01,1.416105e+01,7.180961e+00
