Time,avgI1rd,avgI2rd,avgDrd
0.000000e+00,1.692569e+00,0.000000e+00,0.000000e+00
1.666667e-01,1.692569e+00,0.000000e+00,0.000000e+00
3.333333e-01,1.692569e+00,0.000000e+00,0.000000e+00
5.000000e-01,1.692569e+00,0.000000e+00,0.000000e+00
6.666667e-01,1.692569e+00,0.000000e+00,0.000000e+00
8.333333e-01,1.692569e+00,0.000000e+00,0.000000e+00
1.000000e+00,1.692569e+00,0.000000e+00,0.000000e+00
1.166667e+00,1.692569e+00,0.000000e+00,0.000000e+00
1.333333e+00,1.692569e+00,0.000000e+00,0.000000e+00
1.500000e+00,1.692569e+00,0.000000e+00,0.000000e+00
1.666667e+00,1.692569e+00,0.000000e+00,0.000000e+00
1.833333e+00,1.692569e+00,0.000000e+00,0.000000e+00
2.000000e+00,1.692569e+00,0.000000e+00,0.000000e+00
2.166667e+00,1.692569e+00,0.000000e+00,0.000000e+00
2.333333e+00,1.692569e+00,0.000000e+00,0.000000e+00
2.500000e+00,1.692569e+00,0.000000e+00,0.000000e+00
2.666667e+00,1.692569e+00,0.000000e+00,0.000000e+00
2.833333e+00,1.692569e+00,0.000000e+00,0.000000e+00
3.000000e+00,1.692569e+00,1.692569e+00,0.000000e+00
3.166667e+00,1.692569e+00,1.692569e+00,1.692569e+00
3.333333e+00,7.756324e+00,1.692569e+00,1.692569e+00
3.500000e+00,9.423824e+00,1.692569e+00,1.692569e+00
3.666667e+00,1.083773e+01,1.692569e+00,1.692569e+00
3.833333e+00,1.184798e+01,2.393654e+00,1.692569e+00
4.000000e+00,1.289022e+01,2.931615e+00,1.692569e+00
4.166667e+00,1.446131e+01,2.931615e+00,1.692569e+00
4.333333e+00,1.532686e+01,3.784699e+00,1.692569e+00
4.500000e+00,1.614608e+01,4.145930e+00,1.692569e+00
4.666667e+00,1.701011e+01,5.613615e+00,1.692569e+00
4.833333e+00,1.750807e+01,6.333012e+00,1.692569e+00
5.000000e+00,1.861826e+01,6.770275e+00,1.692569e+00
5.166667e+00,1.944613e+01,7.377736e+00,1.692569e+00
5.333333e+00,2.045139e+01,8.117275e+00,1.692569e+00
5.500000e+00,2.114018e+01,8.462844e+00,1.692569e+00
5.666667e+00,2.154288e+01,8.794845e+00,2.393654e+00
5.833333e+00,2.174144e+01,9.423824e+00,2.931615e+00
6.000000e+00,2.213321e+01,1.043369e+01,3.784699e+00
6.166667e+00,2.239058e+01,1.109892e+01,4.787307e+00
6.333333e+00,2.308356e+01,1.160367e+01,5.613615e+00
6.500000e+00,2.363544e+01,1.208736e+01,6.978640e+00
6.666667e+00,2.435182e+01,1.255243e+01,8.291860e+00
6.833333e+00,2.533205e+01,1.300087e+01,9.114762e+00
7.000000e+00,2.627573e+01,1.332730e+01,1.015541e+01
7.166667e+00,2.702816e+01,1.375049e+01,1.070474e+01
7.333333e+00,2.827147e+01,1.494836e+01,1.160367e+01
7.500000e+00,2.916920e+01,1.587770e+01,1.220529e+01
7.666667e+00,3.004012e+01,1.632254e+01,1.277861e+01
7.833333e+00,3.102530e+01,1.666987e+01,1.364593e+01
