Time,U,I1,I2,D,Ve,IFNe
0.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.027887e-23
3.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.227091e-23
5.000000e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.420675e-22
6.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.954478e-22
8.333333e-01,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,5.945919e-22
1.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,1.181738e-21
1.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,8.647167e-03,2.336078e-21
1.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.870560e-02,4.605617e-21
1.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.059393e-02,9.065442e-21
1.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,4.482986e-02,1.782445e-20
1.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,6.205546e-02,3.501850e-20
2.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,8.306874e-02,6.875659e-20
2.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.088631e-01,1.349342e-19
2.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.406764e-01,2.647036e-19
2.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.800529e-01,5.191065e-19
2.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.289200e-01,1.017734e-18
2.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.896841e-01,1.994846e-18
3.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.653512e-01,3.909266e-18
3.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,4.596773e-01,7.659538e-18
3.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,5.773557e-01,1.500515e-17
3.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,7.242520e-01,2.939103e-17
3.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,9.076978e-01,5.756155e-17
3.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.136858e+00,1.127194e-16
4.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.423187e+00,2.207078e-16
4.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.781009e+00,4.321094e-16
4.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.228226e+00,8.459215e-16
4.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.787222e+00,1.655883e-15
4.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.485978e+00,3.241120e-15
4.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,4.359479e+00,6.343498e-15
5.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,5.451459e+00,1.241459e-14
5.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,6.816599e+00,2.429457e-14
5.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,8.523258e+00,4.758392e-14
5.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.065689e+01,9.327065e-14
5.666667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.332435e+01,1.829818e-13
5.833333e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.665921e+01,3.593258e-13
6.000000e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,2.082844e+01,7.062676e-13
6.166667e+00,9.998566e-01,7.171286e-05,7.171286e-05,0.000000e+00,2.604079e+01,1.406113e-12
6.333333e+00,9.998566e-01,7.171286e-05,7.171286e-05,0.000000e+00,3.255724e+01,2.904906e-12
6.500000e+00,9.998566e-01,7.171286e-05,7.171286e-05,0.000000e+00,4.070953e+01,5.886700e-12
6.666667e+00,9.998207e-01,1.075693e-04,7.171286e-05,0.000000e+00,5.090081e+01,1.180933e-11
6.833333e+00,9.997849e-01,1.075693e-04,1.075693e-04,0.000000e+00,6.364107e+01,2.350070e-11
7.000000e+00,9.997131e-01,1.792822e-04,1.075693e-04,0.000000e+00,7.956775e+01,4.714969e-11
7.166667e+00,9.996056e-01,2.868514e-04,1.075693e-04,0.000000e+00,9.948616e+01,9.204105e-11
7.333333e+00,9.995339e-01,3.227079e-04,1.434257e-04,0.000000e+00,1.243847e+02,1.782968e-10
7.500000e+00,9.995339e-01,2.509950e-04,2.151386e-04,0.000000e+00,1.555079e+02,3.458274e-10
7.666667e+00,9.994980e-01,2.868514e-04,2.151386e-04,0.000000e+00,1.944150e+02,6.744929e-10
7.833333e+00,9.994263e-01,3.585643e-04,2.151386e-04,0.000000e+00,2.430662e+02,1.311968e-09
8.000000e+00,9.993187e-01,4.661336e-04,2.151386e-04,0.000000e+00,3.038698e+02,2.563198e-09
8.166667e+00,9.992112e-01,5.378465e-04,2.509950e-04,0.000000e+00,3.798563e+02,4.992804e-09
8.333333e+00,9.991394e-01,6.095593e-04,2.509950e-04,0.000000e+00,4.748085e+02,9.725116e-09
8.500000e+00,9.990677e-01,6.454158e-04,2.868514e-04,0.000000e+00,5.934507e+02,1.896111e-08
8.666667e+00,9.990319e-01,6.454158e-04,3.227079e-04,0.000000e+00,7.416654e+02,3.695902e-08
8.833333e+00,9.989243e-01,7.171286e-04,3.585643e-04,0.000000e+00,9.268024e+02,7.201589e-08
9.000000e+00,9.988885e-01,7.171286e-04,3.944207e-04,0.000000e+00,1.157995e+03,1.402030e-07
9.166667e+00,9.988167e-01,7.529850e-04,4.302772e-04,0.000000e+00,1.446611e+03,2.727242e-07
9.333333e+00,9.986375e-01,8.964108e-04,4.661336e-04,0.000000e+00,1.806776e+03,5.299603e-07
9.500000e+00,9.986016e-01,9.322672e-04,4.661336e-04,0.000000e+00,2.256019e+03,1.028331e-06
9.666667e+00,9.986016e-01,8.964108e-04,5.019900e-04,0.000000e+00,2.816041e+03,1.991962e-06
9.833333e+00,9.984582e-01,9.681236e-04,5.737029e-04,0.000000e+00,3.513647e+03,3.850142e-06
1.000000e+01,9.984223e-01,1.003980e-03,5.737029e-04,0.000000e+00,4.381887e+03,7.421723e-06
1.016667e+01,9.983147e-01,1.075693e-03,6.095593e-04,0.000000e+00,5.461487e+03,1.425845e-05
1.033333e+01,9.982072e-01,1.183262e-03,6.095593e-04,0.000000e+00,6.801742e+03,2.727924e-05
1.050000e+01,9.979562e-01,1.434257e-03,6.095593e-04,0.000000e+00,8.462749e+03,5.192286e-05
1.066667e+01,9.977769e-01,1.577683e-03,6.454158e-04,0.000000e+00,1.051693e+04,9.820441e-05
1.083333e+01,9.977410e-01,1.505970e-03,7.529850e-04,0.000000e+00,1.305076e+04,1.842976e-04
1.100000e+01,9.975976e-01,1.613539e-03,7.888415e-04,0.000000e+00,1.616635e+04,3.425843e-04
1.116667e+01,9.975259e-01,1.649396e-03,8.246979e-04,0.000000e+00,1.998292e+04,6.294653e-04
1.133333e+01,9.973825e-01,1.685252e-03,9.322672e-04,0.000000e+00,2.463609e+04,1.140431e-03
1.150000e+01,9.973108e-01,1.721109e-03,9.681236e-04,0.000000e+00,3.027684e+04,2.031524e-03
1.166667e+01,9.972032e-01,1.828678e-03,9.681236e-04,0.000000e+00,3.706860e+04,3.546600e-03
1.183333e+01,9.969881e-01,1.936247e-03,1.039836e-03,3.585643e-05,4.518132e+04,6.045780e-03
1.200000e+01,9.967729e-01,2.007960e-03,1.183262e-03,3.585643e-05,5.478201e+04,3.342574e-03
1.216667e+01,9.967371e-01,2.007960e-03,1.219119e-03,3.585643e-05,5.005036e+04,1.862575e-03
1.233333e+01,9.964502e-01,2.223099e-03,1.290832e-03,3.585643e-05,4.574186e+04,1.063619e-03
1.250000e+01,9.961992e-01,2.474094e-03,1.290832e-03,3.585643e-05,4.182096e+04,6.491327e-04
1.266667e+01,9.961275e-01,2.474094e-03,1.362544e-03,3.585643e-05,3.825706e+04,4.561765e-04
1.283333e+01,9.960199e-01,2.545807e-03,1.398401e-03,3.585643e-05,3.502293e+04,3.943254e-04
1.300000e+01,9.957331e-01,2.760945e-03,1.470114e-03,3.585643e-05,3.209520e+04,4.126197e-04
1.316667e+01,9.955538e-01,2.940227e-03,1.470114e-03,3.585643e-05,2.945292e+04,4.817572e-04
1.333333e+01,9.954462e-01,2.940227e-03,1.577683e-03,3.585643e-05,2.708055e+04,5.845007e-04
1.350000e+01,9.952311e-01,3.083653e-03,1.649396e-03,3.585643e-05,2.496284e+04,7.104966e-04
1.366667e+01,9.950518e-01,3.155366e-03,1.756965e-03,3.585643e-05,2.308968e+04,8.534593e-04
1.383333e+01,9.949442e-01,3.083653e-03,1.936247e-03,3.585643e-05,2.145571e+04,1.009621e-03
1.400000e+01,9.948725e-01,3.047797e-03,2.043817e-03,3.585643e-05,2.005861e+04,1.176861e-03
1.416667e+01,9.946574e-01,3.191222e-03,2.115529e-03,3.585643e-05,1.892810e+04,1.354199e-03
1.433333e+01,9.945498e-01,3.191222e-03,2.223099e-03,3.585643e-05,1.805146e+04,1.541496e-03
1.450000e+01,9.942630e-01,3.478074e-03,2.223099e-03,3.585643e-05,1.744628e+04,1.739255e-03
1.466667e+01,9.941913e-01,3.370504e-03,2.402381e-03,3.585643e-05,1.714228e+04,1.948495e-03
1.483333e+01,9.940837e-01,3.334648e-03,2.545807e-03,3.585643e-05,1.716788e+04,2.170663e-03
1.500000e+01,9.940120e-01,3.406361e-03,2.545807e-03,3.585643e-05,1.757079e+04,2.407578e-03
1.516667e+01,9.939044e-01,3.478074e-03,2.581663e-03,3.585643e-05,1.841164e+04,2.661417e-03
1.533333e+01,9.935817e-01,3.621500e-03,2.760945e-03,3.585643e-05,1.976896e+04,2.934741e-03
1.550000e+01,9.934383e-01,3.657356e-03,2.868514e-03,3.585643e-05,2.174619e+04,3.230601e-03
1.566667e+01,9.932590e-01,3.729069e-03,2.976084e-03,3.585643e-05,2.446825e+04,3.552776e-03
1.583333e+01,9.930797e-01,3.872495e-03,3.011940e-03,3.585643e-05,2.809681e+04,3.906247e-03
1.600000e+01,9.930080e-01,3.836638e-03,3.119509e-03,3.585643e-05,3.283155e+04,4.298127e-03
1.616667e+01,9.928287e-01,3.764925e-03,3.370504e-03,3.585643e-05,3.900040e+04,4.739368e-03
1.633333e+01,9.927570e-01,3.657356e-03,3.549787e-03,3.585643e-05,4.684105e+04,5.247883e-03
1.650000e+01,9.926136e-01,3.729069e-03,3.621500e-03,3.585643e-05,5.673538e+04,5.854134e-03
1.666667e+01,9.925777e-01,3.729069e-03,3.657356e-03,3.585643e-05,6.924973e+04,6.610800e-03
1.683333e+01,9.923984e-01,3.872495e-03,3.693212e-03,3.585643e-05,8.486129e+04,7.609112e-03
1.700000e+01,9.923267e-01,3.836638e-03,3.800782e-03,3.585643e-05,1.042534e+05,9.005187e-03
1.716667e+01,9.922550e-01,3.908351e-03,3.800782e-03,3.585643e-05,1.282426e+05,1.106055e-02
1.733333e+01,9.921474e-01,3.764925e-03,4.051777e-03,3.585643e-05,1.578769e+05,1.420013e-02
1.750000e+01,9.919682e-01,3.872495e-03,4.123490e-03,3.585643e-05,1.942145e+05,1.908791e-02
1.766667e+01,9.918247e-01,3.980064e-03,4.159346e-03,3.585643e-05,2.385798e+05,2.671197e-02
1.783333e+01,9.915020e-01,4.159346e-03,4.302772e-03,3.585643e-05,2.924407e+05,3.845810e-02
1.800000e+01,9.914303e-01,4.159346e-03,4.374485e-03,3.585643e-05,3.574519e+05,5.613544e-02
1.816667e+01,9.913586e-01,4.087633e-03,4.517910e-03,3.585643e-05,4.354344e+05,8.190980e-02
1.833333e+01,9.912152e-01,4.231059e-03,4.517910e-03,3.585643e-05,5.283630e+05,1.181165e-01
1.850000e+01,9.908925e-01,4.446197e-03,4.625480e-03,3.585643e-05,6.477267e+05,1.669719e-01
1.866667e+01,9.907849e-01,4.482054e-03,4.697192e-03,3.585643e-05,7.873814e+05,2.302761e-01
1.883333e+01,9.906773e-01,4.410341e-03,4.876475e-03,3.585643e-05,9.497645e+05,3.092479e-01
1.900000e+01,9.904980e-01,4.517910e-03,4.912331e-03,7.171286e-05,1.137320e+06,4.046148e-01
1.916667e+01,9.901753e-01,4.553767e-03,5.199182e-03,7.171286e-05,1.352416e+06,5.097965e-01
1.933333e+01,9.900678e-01,4.553767e-03,5.306752e-03,7.171286e-05,1.581386e+06,6.321527e-01
1.950000e+01,9.898526e-01,4.661336e-03,5.414321e-03,7.171286e-05,1.853283e+06,7.717534e-01
1.966667e+01,9.896733e-01,4.697192e-03,5.521890e-03,1.075693e-04,2.160800e+06,9.292901e-01
1.983333e+01,9.894941e-01,4.697192e-03,5.665316e-03,1.434257e-04,2.504256e+06,1.072537e+00
2.000000e+01,9.892072e-01,4.840618e-03,5.808742e-03,1.434257e-04,2.857367e+06,1.176735e+00
2.016667e+01,9.890279e-01,4.840618e-03,5.988024e-03,1.434257e-04,3.211332e+06,1.321006e+00
2.033333e+01,9.888487e-01,4.912331e-03,5.952168e-03,2.868514e-04,3.605053e+06,1.496703e+00
2.050000e+01,9.885259e-01,5.163326e-03,5.952168e-03,3.585643e-04,4.039439e+06,1.558001e+00
2.066667e+01,9.881674e-01,5.342608e-03,6.131450e-03,3.585643e-04,4.384644e+06,1.574664e+00
2.083333e+01,9.879164e-01,5.521890e-03,6.095593e-03,4.661336e-04,4.686977e+06,1.698689e+00
2.100000e+01,9.875937e-01,5.701173e-03,6.131450e-03,5.737029e-04,5.039621e+06,1.717774e+00
2.116667e+01,9.873785e-01,5.701173e-03,6.310732e-03,6.095593e-04,5.311676e+06,1.673399e+00
2.133333e+01,9.870200e-01,5.808742e-03,6.525870e-03,6.454158e-04,5.527157e+06,1.720878e+00
2.150000e+01,9.866973e-01,6.059737e-03,6.561727e-03,6.812722e-04,5.753576e+06,1.843973e+00
2.166667e+01,9.863028e-01,6.274875e-03,6.741009e-03,6.812722e-04,6.015170e+06,1.992295e+00
2.183333e+01,9.859443e-01,6.525870e-03,6.669296e-03,8.605543e-04,6.289372e+06,2.210090e+00
2.200000e+01,9.858009e-01,6.418301e-03,6.920291e-03,8.605543e-04,6.628180e+06,2.139923e+00
2.216667e+01,9.855499e-01,6.561727e-03,7.027860e-03,8.605543e-04,6.828624e+06,2.231257e+00
2.233333e+01,9.851913e-01,6.705153e-03,7.242999e-03,8.605543e-04,7.130365e+06,2.422896e+00
2.250000e+01,9.848327e-01,6.956148e-03,7.278855e-03,9.322672e-04,7.502485e+06,2.680982e+00
2.266667e+01,9.844742e-01,6.920291e-03,7.601563e-03,1.003980e-03,7.945992e+06,2.903144e+00
2.283333e+01,9.841515e-01,7.099573e-03,7.637420e-03,1.111549e-03,8.397619e+06,3.145792e+00
2.300000e+01,9.837212e-01,7.350568e-03,7.816702e-03,1.111549e-03,8.883419e+06,3.234241e+00
2.316667e+01,9.834343e-01,7.350568e-03,8.031841e-03,1.183262e-03,9.311609e+06,3.457934e+00
2.333333e+01,9.831833e-01,7.314712e-03,8.175266e-03,1.326688e-03,9.834554e+06,3.724496e+00
2.350000e+01,9.827889e-01,7.422281e-03,8.426261e-03,1.362544e-03,1.034357e+07,3.886034e+00
2.366667e+01,9.823945e-01,7.709133e-03,8.426261e-03,1.470114e-03,1.078153e+07,4.120195e+00
2.383333e+01,9.820359e-01,7.888415e-03,8.533831e-03,1.541827e-03,1.128488e+07,4.290587e+00
2.400000e+01,9.817491e-01,8.031841e-03,8.641400e-03,1.577683e-03,1.178223e+07,4.530812e+00
2.416667e+01,9.813547e-01,8.318692e-03,8.677256e-03,1.649396e-03,1.228830e+07,4.823497e+00
2.433333e+01,9.811037e-01,8.246979e-03,8.748969e-03,1.900391e-03,1.286673e+07,5.037833e+00
2.450000e+01,9.806734e-01,8.462118e-03,8.820682e-03,2.043817e-03,1.346949e+07,5.031668e+00
2.466667e+01,9.803507e-01,8.462118e-03,9.107533e-03,2.079673e-03,1.395311e+07,4.999320e+00
2.483333e+01,9.798845e-01,8.748969e-03,9.179246e-03,2.187242e-03,1.436198e+07,5.182706e+00
2.500000e+01,9.792750e-01,9.286816e-03,9.179246e-03,2.258955e-03,1.488603e+07,5.346821e+00
2.516667e+01,9.787730e-01,9.681236e-03,9.143390e-03,2.402381e-03,1.542783e+07,5.544833e+00
2.533333e+01,9.784861e-01,9.752949e-03,9.215103e-03,2.545807e-03,1.600130e+07,5.732239e+00
2.550000e+01,9.782710e-01,9.788806e-03,9.250959e-03,2.689232e-03,1.653616e+07,5.861229e+00
2.566667e+01,9.778049e-01,1.007566e-02,9.358528e-03,2.760945e-03,1.702953e+07,5.917905e+00
2.583333e+01,9.776256e-01,9.896375e-03,9.645380e-03,2.832658e-03,1.747820e+07,6.057573e+00
2.600000e+01,9.771595e-01,1.000394e-02,9.896375e-03,2.940227e-03,1.796419e+07,6.281867e+00
2.616667e+01,9.768726e-01,1.007566e-02,9.932231e-03,3.119509e-03,1.850761e+07,6.455709e+00
2.633333e+01,9.764423e-01,1.018323e-02,1.021908e-02,3.155366e-03,1.903834e+07,6.547264e+00
2.650000e+01,9.760479e-01,1.039836e-02,1.021908e-02,3.334648e-03,1.948933e+07,6.805522e+00
2.666667e+01,9.757252e-01,1.047008e-02,1.036251e-02,3.442217e-03,2.001651e+07,6.821610e+00
2.683333e+01,9.753308e-01,1.054179e-02,1.068522e-02,3.442217e-03,2.044646e+07,6.902982e+00
2.700000e+01,9.747929e-01,1.079279e-02,1.072107e-02,3.693212e-03,2.093366e+07,7.136741e+00
2.716667e+01,9.744344e-01,1.090035e-02,1.072107e-02,3.944207e-03,2.153114e+07,7.099315e+00
2.733333e+01,9.742192e-01,1.093621e-02,1.072107e-02,4.123490e-03,2.198596e+07,6.993795e+00
